             1             1
             2            -1
             3             1
             4             1
             5             1
             6             1
             7             1
             8            -7
             9             1
            10             1
            11             1
            12             1
            13           -12
            14             1
            15             1
            16             1
            17             1
            18             1
            19             1
            20             1
            21           -16
            22           -17
            23           -18
            24           -19
            25           -20
            26             1
            27             1
            28             1
            29             1
            30             1
            31             1
            32           -30
            33           -31
            34             1
            35             1
