  1    1
  2    1
  3    1
  4    1
  5    1
  6   -3
  7   -1
  8   -2
  9   -4
 10   -5
 11    1
 12    1
 13    1
 14    1
 15    1
 16    1
 17    1
 18    1
 19    1
 20    1
 21  -11
 22  -12
 23  -13
 24  -14
 25  -15
 26  -16
 27  -17
 28  -18
 29  -19
 30  -20
 31    1
 32  -14
 33  -31
 34  -14
 35    1
 36  -35
 37    1
 38    1
 39  -37
 40  -38
 41    1
 42  -16
 43  -41
 44  -16
 45    1
 46  -45
 47    1
 48    1
 49  -47
 50  -48
 51  -17
 52    1
 53  -19
 54    1
 55  -17
 56  -52
 57  -19
 58  -54
 59  -37
 60    1
 61  -37
 62  -60
 63  -47
 64    1
 65  -47
 66  -64
 67    1
 68    1
 69  -68
 70  -67
 71    1
 72  -71
 73    1
 74    1
 75    1
 76    1
 77    1
 78  -76
 79    1
 80    1
 81    1
 82    1
 83    1
 84    1
 85    1
 86  -77
 87    1
 88  -87
 89    1
 90    1
 91  -81
 92  -83
 93  -82
 94  -84
 95  -85
 96  -79
 97    1
 98  -84
 99    1
100  -89
101    1
102  -84
103  -99
104    1
105    1
