  1    1
  2   -1
  3    1
  4   -1
  5   -1
  6   -3
  7   -1
  8   -1
  9   -3
 10   -1
 11   -1
 12   -1
 13   -1
 14   -1
 15   -1
 16    1
 17  -16
 18    1
 19  -16
 20  -16
 21  -18
 22  -16
 23  -16
 24  -18
 25    1
 26    1
 27  -25
 28  -26
 29  -25
 30  -26
 31  -16
 32  -16
 33  -18
 34  -16
 35  -16
 36  -18
 37  -16
 38  -16
 39  -18
 40  -25
 41  -26
 42  -25
 43  -26
 44  -25
 45  -26
 46  -16
 47  -16
 48  -18
 49  -16
 50  -16
 51  -18
 52  -16
 53  -16
 54  -18
 55  -25
 56  -26
 57  -25
 58  -26
 59  -25
 60  -26
 61  -16
 62  -16
 63  -18
 64  -16
 65  -16
 66  -18
 67  -16
 68  -16
 69  -18
 70  -25
 71  -26
 72  -25
 73  -26
 74  -25
 75  -26
 76    1
 77    1
 78  -76
 79  -77
 80  -76
 81  -77
 82  -76
 83  -77
 84  -76
 85  -77
 86  -76
 87  -77
 88  -76
 89  -77
 90  -76
 91  -77
 92  -76
 93  -77
 94  -76
 95  -77
 96  -76
 97  -77
 98  -76
 99  -77
100    1
101 -100
102 -100
103 -100
104 -100
105 -100
