 1   1
 2  -1
 3   1
 4  -1
 5  -1
 6  -3
 7   1
 8   1
 9  -7
10  -8
11  -1
12  -1
13  -3
14  -1
15  -1
16  -3
17  -7
18  -8
19  -7
20  -8
21  -1
22  -1
23  -3
24  -1
25  -1
26  -3
27  -7
28  -8
29  -7
30  -8
31   1
32   1
33 -31
34 -32
35 -31
36 -32
37 -31
38 -32
39 -31
40 -32
41 -31
42 -32
43   1
44 -43
45   1
46 -43
47 -43
48 -45
49 -43
50 -43
51 -43
52 -43
53  -7
54  -8
55  -3
56  -1
57  -1
58  -7
59  -8
60  -3
61  -1
62  -1
63 -32
64 -31
65   1
66 -65
67 -32
68 -31
69 -65
70 -65
71 -31
72   1
73  -3
74   1
75 -74
76   1
77   1
78  -3
79 -32
80   1
81  -3
82 -77
83 -76
84 -80
85 -32
86  -1
87 -74
88 -74
89  -1
90 -77
91  -8
