  1    1
  2    1
  3    1
  4    1
  5    1
  6    1
  7    1
  8    1
  9   -6
 10   -4
 11   -5
 12   -7
 13   -8
 14    1
 15  -14
 16   -1
 17   -2
 18   -3
 19   -4
 20   -5
 21   -6
 22   -7
 23   -8
 24   -6
 25   -4
 26   -5
 27   -7
 28   -8
 29  -14
 30  -14
 31   -1
 32   -2
 33   -3
 34   -4
 35   -5
 36   -6
 37   -7
 38   -8
 39   -6
 40   -4
 41   -5
 42   -7
 43   -8
 44  -14
 45  -14
 46    1
 47    1
 48    1
 49  -46
 50  -47
 51  -48
 52    1
 53  -52
 54  -48
 55  -46
 56  -47
 57  -52
 58  -52
 59  -52
 60  -52
 61    1
 62    1
 63    1
 64  -61
 65  -62
 66  -63
 67    1
 68  -67
 69  -63
 70  -61
 71  -62
 72  -67
 73  -67
 74  -67
 75  -67
 76    1
 77    1
 78    1
 79    1
 80    1
 81    1
 82  -76
 83  -77
 84  -78
 85  -79
 86  -80
 87  -81
 88  -77
 89  -76
 90    1
 91    1
 92  -90
 93  -91
 94  -79
 95  -78
 96  -91
 97  -90
 98  -91
 99  -90
100  -80
101  -81
102  -90
103  -91
104  -91
105  -90
