             1             1
             2            -1
             3             1
             4            -1
             5            -1
             6            -3
             7            -1
             8            -1
             9            -1
            10            -1
            11             1
            12           -11
            13           -11
            14             1
            15           -11
            16           -14
            17             1
            18             1
            19           -17
            20           -18
            21           -11
            22           -11
            23           -11
            24           -14
            25           -11
            26           -14
            27           -17
            28           -18
            29           -17
            30           -18
            31           -11
            32           -14
            33           -11
            34           -14
            35           -11
            36           -11
            37           -17
            38           -18
            39           -17
            40           -18
            41           -11
            42           -14
            43           -11
            44           -14
            45           -11
            46           -11
            47           -17
            48           -18
            49           -17
            50           -18
            51             1
            52             1
            53           -51
            54           -52
            55           -51
            56           -52
            57           -51
            58           -52
            59           -51
            60           -52
            61           -51
            62           -52
            63           -51
            64           -52
            65           -51
            66           -52
            67             1
            68           -67
            69           -67
            70           -67
